Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2013,"12        ",Male,18,Right-Handed,,,,1,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,"A lot","Graduate degree",,,Happy,,
USA,OH,2015,"12        ",Female,21,Right-Handed,161,22.5,165,2,Car,10,0.318,31,Walking/Hiking,900,800,1000,600,400,300,22,"Right foot",60,60,"Same length",November,Summer,No,No,"Rice/Noodle dishes","Soft drink (non-caffeinated)","Mathematics and statistics",7,10,4,"Yes - other",Other,287,400,24,20,21,35,14,15,21,28,28,14,0,28,None,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Other,Health
USA,OH,2016,"12        ",Female,19,Right-Handed,145.6,25,149,2,Car,"10 ",.371,42,Soccer,1000,1000,1000,1000,0,0,24,"Right foot",64,67,"Ring finger",February,Fall,No,No,"No favorite",Water,"Mathematics and statistics",10,12,4,"Yes - broadband connection","Text messaging",30,40,1,1,4,9,1,1,1,1,0,2,0,5,Some,"Some college",Other,"Freeze time",Healthy,Teacher,"International aid"
USA,OH,2019,"12        ",Male,17,Left-Handed,183,31,186,1,Car,4,.33,45,Bowling,300,500,600,200,800,1000,34,"Same length",90,100,"Ring finger",April,Summer,No,No,Seafood,Water,"Mathematics and statistics",6.5,8,2,"Yes - other","Cell phone",1,6,10,31.29,1,0,5,6,9,1,15,15,0,0,Some,"Some college",Country,Fly,Happy,Relative,Health
USA,OH,2019,"12        ",Female,18,Right-Handed,167.6,10,45,1,Car,8,5.41,45,None,717,1000,572,428,48,326,24,"Same length",5,4,"Ring finger",October,Summer,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",8,9,4,"Yes - other","Text messaging",99,100,3,168,6,2,0,6,100,167,3,20,30,75,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,Health
USA,OH,2013,"12        ",Male,17,Right-Handed,159,25,174,1,Car,7,.284,43,Other,235,652,599,845,840,1000,23,"Right foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2020,"11        ",Female,17,Right-Handed,14,24,idk,1,Bus,30,0.386,32,Soccer,1000,1000,1000,1000,600,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,"12        ",Female,18,Right-Handed,5,20,149,1,Car,10,0.446,52,Walking/Hiking,1000,1000,1000,1000,500,500,21,"Left foot",89,73,"Index finger",January,Summer,No,No,Meat,Water,"Mathematics and statistics",7,9,5,"Yes - broadband connection","Text messaging",30,35,10,12,10,50,1,0,60,200,180,21,24,"10 ","Very little","Graduate degree",Country,Telepathy,Happy,Relative,Health
USA,OH,2018,"12        ",Female,17,Right-Handed,168,81,162,1,Bus,25,0.486,43,Basketball,1000,1000,1000,1000,1000,1000,81,"Same length",9,4,"Index finger",February,Fall,No,No,Meat,"Sports drink",Science,7,5,4,"Yes - other","Text messaging",8,9,3,1,1,1,0,0,4,3,3,0,8,8,Some,"High school","Rap/Hip hop",Telepathy,Happy,Other,"Education/Youth development"
USA,OH,2019,"12        ",Male,17,Right-Handed,175,25,176,1,Car,8,.335,"40 ",Walking/Hiking,800,800,800,900,1000,1000,26,"Same length",8.2cm,8.9cm,"Ring finger",September,Fall,No,No,"No favorite",Water,Music,6,9,2,"Yes - other","Text messaging",2,4,12,2,3,3,2,4,5,3,6,1,0,2,Some,"Some college","Heavy metal","Freeze time",Rich,"Musician or singer","Arts, culture, sports"
USA,OH,2011,"12        ",Female,17,Right-Handed,155,23,155,2,Bus,10,0.39,.46,"Football (American)",500,500,200,,900,900,23,"Same length",80,80,"Same length",January,Fall,No,No,Pizza/Pasta,Tea,"Mathematics and statistics",6,8,3,"Yes - broadband connection","Text messaging",200,3,6,4,5,7,4,5,21,84,28,35,0,4,Some,"Graduate degree",Country,"Freeze time",Happy,Relative,"International aid"
USA,OH,2021,"12        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pop,Invisibility,Happy,"Community leader or elder","Arts, culture, sports"
USA,OH,2018,"12        ",Male,17,Right-Handed,183,27,186,2,Car,3,.477,32,Soccer,500,500,600,500,750,1000,26,"Right foot",80,80,"Same length",January,Summer,No,No,Poultry,Water,"Computers and technology",7,9,3,"Yes - broadband connection","Text messaging",35,35,4,1,3,2,7,10,5,2,10,1,5,3,Some,"Undergraduate degree","Rap/Hip hop",Invisibility,Rich,"Musician or singer",Health
USA,OH,2020,"12        ",Female,17,Left-Handed,175,22,152,2,Car,4,.364,58,Soccer,1000,1000,861,957,289,610,22,"Left foot",7.5,7.5,"Same length",March,Fall,No,No,"No favorite",Water,Other,5,7,4,"Yes - broadband connection","Text messaging",250,240,6,7,6,3,21,2,20,40,10,4,0,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Other,Environment
USA,OH,2013,"11        ",Male,16,Left-Handed,180,28,182,2,Bus,20,0.205,40,Other,139,21,128,123,1000,1000,27,"Right foot",80,90,"Ring finger",July,Spring,No,No,Meat,"Sports drink","Computers and technology",3,8,6,"Yes - broadband connection","Text messaging",673,630,20,0,1,0,6,4,10,30,35,0,0,0,Some,"Graduate degree","Rock and roll",Telepathy,Famous,Friend,"Arts, culture, sports"
USA,OH,2019,"10        ",Male,15,Right-Handed,170.1,"25.2 ",157,Eng,Car,"16 ",0.397,77,Skateboarding/Rollerblading,1000,1000,1000,1000,471,401,25.2,"Same length",100,80,"Index finger",June,Spring,No,No,Pizza/Pasta,Milk,Music,8,12,7,"Yes - broadband connection","Text messaging",,10,7,1,5,4,4,1,12,2,12,10,0,2,"A lot","High school","Heavy metal","Super strength",Happy,Other,"Education/Youth development"
USA,OH,2017,"12        ",Male,17,Left-Handed,175,27,178,2,Car,15,0.755,50,Basketball,,,,,,,26,"Right foot",8,,"Ring finger",January,Winter,Yes,No,Meat,Juice,"Mathematics and statistics",7,9,6,"Yes - broadband connection","Cell phone",50,60,75,15,0,5,50,20,0,15,6,0,0,1,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Arts, culture, sports"
USA,OH,2013,"9         ",Male,14,Right-Handed,175,,33,1,Walk,,,,Basketball,,,,,,,,,,,"Same length",June,Summer,No,No,Meat,"Sports drink",,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,"11        ",Male,16,Right-Handed,183,30,183,1,Bus,90,,,"Football (American)",,,,,,,30,"Same length",,,,March,Spring,No,No,Meat,"Sports drink","Mathematics and statistics",8,12,3,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",50,60,0,3,1,2,0,6,40,3,70,120,0,1,"A lot","Graduate degree","Rap/Hip hop",Fly,Healthy,Relative,Environment
USA,OH,2018,"12        ",Male,17,Right-Handed,177.8,27,177.8,1,Boat,8,.371,69,Soccer,337,561,187,840,551,781,26,"Right foot",80,80,"Same length",November,Fall,Yes,No,Pizza/Pasta,Water,"Computers and technology",7,10,3,"Yes - broadband connection","Text messaging",50,50,0,0,10,6,12,14,5,5,5,2,0,5,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,OH,2017,"12        ",Female,17,Right-Handed,167.6,23,147,1,Car,"30 ",0.466,62,Other,800,600,950,1000,200,500,23,"Same length",8,8,"Same length",March,Fall,Yes,No,Desserts,"Powdered drink",English,5,9,9,"Yes - broadband connection","Text messaging",90,50,16,10,4,1,15,0,19,19,21,10,24,15,Some,"Graduate degree",Pop,Invisibility,Happy,Actor,Health
USA,OH,2019,"12        ",Female,17,Right-Handed,"5'3""",21,160,1,Car,"10 ",.45,45,Other,770,487,305,310,380,711,22,"Left foot",75,61,"Index finger",April,Summer,No,No,Pizza/Pasta,"Soft drink (caffeinated)","Social studies",7,10,4,"Yes - other","Text messaging",35,38,10,10,5,5,15,1,20,10,20,50,25,5,"A lot","Undergraduate degree",Pop,Fly,Happy,"Doctor or nurse",Health
USA,OH,2019,"12        ",Female,17,Right-Handed,160,23,163,1,Car,25,0.554,47,Tennis,604,658,422,326,1000,1000,23,"Same length",85,68,"Index finger",August,Summer,Yes,No,Seafood,Water,Science,7,9,3,"Yes - broadband connection","Text messaging",15,18,5,10,5,1,13,3,15,1,70,15,35,1,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,"Education/Youth development"
USA,OH,2018,"12        ",Male,17,Right-Handed,170,24,175,1,Car,5,0.67,38,Skateboarding/Rollerblading,900,950,1000,800,0,0,24,"Same length",114.3,116.8,"Ring finger",June,Fall,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",8,12,1,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,25,30,1,15,20,0,2,20,12,12,4,2,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,Health
USA,OH,2013,"9         ",Female,16,Right-Handed,143,20,65,1,Bus,30,0.61,49,Dancing,1000,999,1000,998,2,2,20,"Same length",7,7.4,"Ring finger",April,Summer,No,No,"No favorite",Water,Music,6,11,3,"Yes - broadband connection","In person",0,0,50,0,5,2.5,10,0,0,0,4,52.5,0,15,"Very little","Graduate degree",Other,Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,OH,2018,"12        ",Male,17,Right-Handed,168,26,170,1,Car,12,0.388,26,Soccer,765,594,535,840,128,75,25,"Right foot",94,96,"Ring finger",April,Fall,Yes,No,Meat,Water,Science,6.5,9,5,"Yes - broadband connection","Text messaging",60,75,6,2,4,10,2,0,0,1.5,2,10,14,3,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,Health
